county,speed_source,pollutantID_2,pollutantID_3,pollutantID_87,pollutantID_100,pollutantID_110
Alcona,Default,337.3191719,52.9642312,5.851636524,1.120401491,1.01922138
Alcona,NPMRDS_count,290.92853460000003,47.10196019,4.9831506050000005,0.998153063,0.907865927
Alcona,NPMRDS_vht,290.92726480000005,47.1255502,4.984562946,0.998695185,0.908365605
Alcona,INRIX_XD,296.65572660000004,48.9679866,5.229336454999999,1.043695212,0.949552572
Alcona,INRIX_XD_FRC_1_4,296.0496646,48.298351700000005,5.143043735,1.026641886,0.933916955
Alger,Default,526.37884573,87.44528097,9.200219157,1.833327138,1.668164998
Alger,NPMRDS_count,499.20295841,82.70090816,8.191213603,1.7171732326,1.5621549753
Alger,NPMRDS_vht,499.49120750000003,83.97612745,8.348747659,1.7494122274000001,1.5917498147
Alger,INRIX_XD,480.52987021,83.15283224000001,8.571430182,1.749104252,1.5917319189999999
Alger,INRIX_XD_FRC_1_4,474.98755020000004,81.45076221000001,8.365776455,1.713923946,1.5595250209
Allegan,Default,5376.649014,948.049534,88.62846852999999,20.1561743,18.37424378
Allegan,NPMRDS_count,6065.432716,929.834936,77.98424846,19.42898792,17.69515824
Allegan,NPMRDS_vht,6096.275437,927.0753129999999,77.62437771,19.35581047,17.62729702
Allegan,INRIX_XD,5242.634945,974.395044,86.14106238,20.58609642,18.77175891
Allegan,INRIX_XD_FRC_1_4,5215.989112,961.250249,84.06557848,20.28348426,18.4943941
Alpena,Default,909.5531278,130.7967894,16.294538890000002,2.809374265,2.5537929769999996
Alpena,NPMRDS_count,790.4729063999999,120.5267724,13.49955154,2.5419548180000002,2.3107763
Alpena,NPMRDS_vht,794.3142124,120.7385599,13.59492642,2.550187729,2.318249396
Alpena,INRIX_XD,828.6745662999999,123.4049317,14.9688921,2.6598387629999998,2.417996515
Alpena,INRIX_XD_FRC_1_4,817.4901576,121.7100176,14.674683570000001,2.625988045,2.387132626
Antrim,Default,977.2233019,157.1191918,16.7819795,3.312497639,3.0139551879999997
Antrim,NPMRDS_count,871.6345119,151.2112213,15.773867116,3.2383819380000003,2.947799413
Antrim,NPMRDS_vht,877.4692238,153.2610843,16.044398826,3.2854559560000003,2.990914297
