county,speed_source,pollutantID_2,pollutantID_3,pollutantID_87,pollutantID_100,pollutantID_110
Cass,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Cass,NPMRDS_count,1.25%,-8.39%,-19.82%,-10.36%,-10.46%
Cass,NPMRDS_vht,3.19%,-8.48%,-20.22%,-10.76%,-10.87%
Cass,INRIX_XD,-12.48%,-3.20%,-6.38%,-1.39%,-1.33%
Cass,INRIX_XD_FRC_1_4,-13.19%,-4.73%,-8.12%,-3.03%,-2.98%
Charlevoix,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Charlevoix,NPMRDS_count,-10.70%,-1.33%,-6.11%,-0.80%,-0.73%
Charlevoix,NPMRDS_vht,-9.53%,1.52%,-3.58%,1.93%,2.02%
Charlevoix,INRIX_XD,-6.96%,4.63%,4.31%,5.96%,6.05%
Charlevoix,INRIX_XD_FRC_1_4,-9.16%,0.97%,0.58%,3.01%,3.09%
Cheboygan,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Cheboygan,NPMRDS_count,0.14%,3.70%,-0.94%,2.77%,2.79%
Cheboygan,NPMRDS_vht,0.86%,6.73%,1.44%,5.35%,5.39%
Cheboygan,INRIX_XD,-4.39%,1.52%,-2.86%,0.93%,0.96%
Cheboygan,INRIX_XD_FRC_1_4,-4.75%,1.06%,-3.47%,0.54%,0.57%
Chippewa,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Chippewa,NPMRDS_count,-6.14%,-3.34%,-14.68%,-5.48%,-5.48%
Chippewa,NPMRDS_vht,-6.51%,-6.66%,-16.34%,-8.32%,-8.34%
Chippewa,INRIX_XD,-7.97%,-2.47%,-5.92%,-2.10%,-2.07%
Chippewa,INRIX_XD_FRC_1_4,-9.41%,-4.02%,-8.22%,-3.70%,-3.68%
Clare,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Clare,NPMRDS_count,12.48%,-1.72%,-11.42%,-3.56%,-3.65%
Clare,NPMRDS_vht,14.62%,-1.51%,-11.83%,-3.57%,-3.67%
Clare,INRIX_XD,-0.43%,1.53%,-4.47%,0.67%,0.68%
Clare,INRIX_XD_FRC_1_4,-0.57%,1.18%,-5.16%,0.26%,0.27%
Clinton,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Clinton,NPMRDS_count,13.82%,-2.87%,-13.91%,-4.79%,-4.91%
Clinton,NPMRDS_vht,14.29%,-2.95%,-14.29%,-4.97%,-5.09%
Clinton,INRIX_XD,0.45%,0.90%,-7.05%,-0.28%,-0.28%
Clinton,INRIX_XD_FRC_1_4,0.07%,0.16%,-8.55%,-1.18%,-1.19%
Crawford,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Crawford,NPMRDS_count,11.05%,3.06%,-3.33%,1.82%,1.79%
Crawford,NPMRDS_vht,11.41%,3.61%,-2.48%,2.42%,2.39%
Crawford,INRIX_XD,-0.59%,3.07%,-2.32%,1.96%,1.98%
Crawford,INRIX_XD_FRC_1_4,-0.69%,2.94%,-2.53%,1.84%,1.86%
Delta,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Delta,NPMRDS_count,-13.20%,-12.79%,-23.17%,-14.67%,-14.72%
Delta,NPMRDS_vht,-13.06%,-12.55%,-22.66%,-14.25%,-14.30%
Delta,INRIX_XD,-11.89%,-8.03%,-12.86%,-8.10%,-8.10%
Delta,INRIX_XD_FRC_1_4,-13.16%,-10.33%,-16.17%,-10.74%,-10.75%
Dickinson,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Dickinson,NPMRDS_count,-16.99%,-12.31%,-22.73%,-13.68%,-13.70%
Dickinson,NPMRDS_vht,-14.63%,-10.65%,-17.82%,-11.07%,-11.08%
Dickinson,INRIX_XD,-10.90%,-5.60%,-9.76%,-5.40%,-5.38%
Dickinson,INRIX_XD_FRC_1_4,-14.29%,-9.89%,-14.82%,-9.55%,-9.55%
Eaton,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Eaton,NPMRDS_count,1.32%,-4.01%,-12.93%,-4.54%,-4.60%
Eaton,NPMRDS_vht,1.45%,-3.44%,-11.16%,-3.74%,-3.79%
Eaton,INRIX_XD,-5.10%,-2.30%,-8.77%,-2.78%,-2.78%
Eaton,INRIX_XD_FRC_1_4,-5.78%,-3.17%,-10.14%,-3.73%,-3.72%
Emmet,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Emmet,NPMRDS_count,-9.75%,-2.59%,-6.65%,-1.78%,-1.73%
Emmet,NPMRDS_vht,-9.11%,-3.13%,-5.89%,-2.00%,-1.95%
Emmet,INRIX_XD,-6.80%,4.43%,2.08%,5.69%,5.80%
Emmet,INRIX_XD_FRC_1_4,-8.20%,1.90%,-0.47%,3.25%,3.33%
Genesee,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Genesee,NPMRDS_count,4.36%,-7.16%,-19.07%,-8.98%,-9.11%
Genesee,NPMRDS_vht,5.43%,-8.42%,-21.65%,-10.64%,-10.79%
Genesee,INRIX_XD,-3.96%,-2.23%,-9.13%,-2.94%,-2.95%
Genesee,INRIX_XD_FRC_1_4,-4.48%,-2.94%,-10.17%,-3.70%,-3.71%
Gladwin,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Gladwin,NPMRDS_count,8.61%,-3.80%,-11.18%,-4.50%,-4.58%
Gladwin,NPMRDS_vht,13.07%,-2.85%,-11.32%,-3.97%,-4.07%
Gladwin,INRIX_XD,-11.99%,-6.61%,-6.63%,-4.44%,-4.42%
Gladwin,INRIX_XD_FRC_1_4,-12.16%,-6.87%,-7.01%,-4.73%,-4.71%
Gogebic,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Gogebic,NPMRDS_count,-5.50%,-4.72%,-12.25%,-5.67%,-5.68%
Gogebic,NPMRDS_vht,-7.07%,-3.54%,-9.91%,-3.46%,-3.44%
Gogebic,INRIX_XD,-5.31%,-1.62%,-2.57%,-1.03%,-1.01%
Gogebic,INRIX_XD_FRC_1_4,-6.87%,-3.19%,-4.87%,-2.69%,-2.67%
Grand_traverse,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Grand_traverse,NPMRDS_count,-13.24%,-12.05%,-14.92%,-11.16%,-11.18%
Grand_traverse,NPMRDS_vht,-12.50%,-11.10%,-13.36%,-10.02%,-10.03%
Grand_traverse,INRIX_XD,-11.62%,-4.86%,-8.79%,-4.07%,-4.03%
Grand_traverse,INRIX_XD_FRC_1_4,-11.85%,-5.57%,-9.46%,-4.76%,-4.73%
Gratiot,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Gratiot,NPMRDS_count,15.28%,-2.99%,-14.48%,-4.96%,-5.08%
Gratiot,NPMRDS_vht,16.06%,-3.27%,-15.12%,-5.58%,-5.71%
Gratiot,INRIX_XD,-5.83%,-2.50%,-7.50%,-2.46%,-2.44%
Gratiot,INRIX_XD_FRC_1_4,-6.09%,-3.47%,-9.08%,-3.59%,-3.58%
Hillsdale,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Hillsdale,NPMRDS_count,-13.06%,-8.33%,-11.84%,-7.24%,-7.22%
Hillsdale,NPMRDS_vht,-11.94%,-7.13%,-9.88%,-5.84%,-5.82%
Hillsdale,INRIX_XD,-7.26%,1.60%,1.78%,3.81%,3.89%
Hillsdale,INRIX_XD_FRC_1_4,-8.98%,-0.65%,-0.97%,1.63%,1.69%
Houghton,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Houghton,NPMRDS_count,-11.13%,-10.22%,-14.68%,-10.17%,-10.20%
Houghton,NPMRDS_vht,-7.44%,-7.17%,-8.65%,-6.37%,-6.38%
Houghton,INRIX_XD,-11.11%,-5.87%,-9.22%,-5.00%,-4.97%
Houghton,INRIX_XD_FRC_1_4,-11.91%,-7.21%,-10.83%,-6.51%,-6.50%
Huron,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Huron,NPMRDS_count,-10.13%,-5.78%,-9.29%,-5.03%,-5.01%
Huron,NPMRDS_vht,-9.34%,-3.53%,-7.54%,-2.86%,-2.83%
Huron,INRIX_XD,-10.70%,-3.70%,-3.56%,-1.50%,-1.46%
Huron,INRIX_XD_FRC_1_4,-11.49%,-5.07%,-5.09%,-2.81%,-2.78%
Ingham,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Ingham,NPMRDS_count,6.87%,-6.05%,-17.20%,-7.98%,-8.10%
Ingham,NPMRDS_vht,5.31%,-7.45%,-19.82%,-9.70%,-9.82%
Ingham,INRIX_XD,-0.20%,2.60%,-2.53%,2.11%,2.13%
Ingham,INRIX_XD_FRC_1_4,-1.40%,1.13%,-4.96%,0.48%,0.49%
Ionia,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Ionia,NPMRDS_count,11.89%,-2.27%,-12.52%,-3.90%,-3.99%
Ionia,NPMRDS_vht,12.11%,-2.48%,-12.63%,-4.10%,-4.19%
Ionia,INRIX_XD,-3.65%,1.36%,-4.56%,0.67%,0.69%
Ionia,INRIX_XD_FRC_1_4,-4.30%,0.37%,-6.34%,-0.41%,-0.39%
Iosco,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Iosco,NPMRDS_count,-8.12%,4.34%,0.11%,5.14%,5.25%
Iosco,NPMRDS_vht,-5.98%,8.05%,4.34%,8.94%,9.08%
Iosco,INRIX_XD,-11.57%,-5.54%,-8.18%,-4.43%,-4.41%
Iosco,INRIX_XD_FRC_1_4,-12.27%,-6.76%,-9.72%,-5.70%,-5.68%
Iron,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Iron,NPMRDS_count,-7.99%,-2.25%,-9.62%,-2.64%,-2.60%
Iron,NPMRDS_vht,-8.37%,0.82%,-7.12%,0.52%,0.59%
Iron,INRIX_XD,-6.16%,2.43%,2.11%,3.63%,3.70%
Iron,INRIX_XD_FRC_1_4,-9.36%,-2.99%,-3.87%,-1.65%,-1.61%
Isabella,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Isabella,NPMRDS_count,15.09%,-3.26%,-16.83%,-5.85%,-5.98%
Isabella,NPMRDS_vht,15.59%,-2.91%,-16.39%,-5.51%,-5.64%
Isabella,INRIX_XD,-4.83%,-0.76%,-7.85%,-1.30%,-1.28%
Isabella,INRIX_XD_FRC_1_4,-4.33%,-1.70%,-9.84%,-2.51%,-2.50%
Jackson,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Jackson,NPMRDS_count,3.42%,-5.38%,-15.74%,-6.94%,-7.01%
Jackson,NPMRDS_vht,2.80%,-6.01%,-16.97%,-7.69%,-7.77%
Jackson,INRIX_XD,-3.06%,2.54%,-2.51%,2.12%,2.16%
Jackson,INRIX_XD_FRC_1_4,-4.23%,0.63%,-5.46%,0.04%,0.06%
Kalamazoo,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Kalamazoo,NPMRDS_count,3.60%,-4.73%,-14.05%,-6.28%,-6.36%
Kalamazoo,NPMRDS_vht,4.24%,-6.44%,-17.38%,-8.44%,-8.56%
Kalamazoo,INRIX_XD,-3.84%,0.33%,-5.68%,-0.18%,-0.16%
Kalamazoo,INRIX_XD_FRC_1_4,-5.42%,-1.75%,-8.71%,-2.42%,-2.41%
Kalkaska,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Kalkaska,NPMRDS_count,-10.42%,-5.84%,-8.38%,-5.00%,-4.98%
Kalkaska,NPMRDS_vht,-9.76%,-4.20%,-6.15%,-3.14%,-3.10%
Kalkaska,INRIX_XD,-10.07%,-4.25%,-4.54%,-2.86%,-2.83%
Kalkaska,INRIX_XD_FRC_1_4,-11.82%,-7.57%,-8.19%,-6.15%,-6.14%
Kent,Default,0.00%,0.00%,0.00%,0.00%,0.00%
Kent,NPMRDS_count,3.31%,-8.60%,-21.00%,-10.90%,-11.04%
Kent,NPMRDS_vht,1.98%,-10.19%,-23.92%,-12.85%,-13.00%
Kent,INRIX_XD,-4.98%,-3.04%,-10.39%,-3.95%,-3.96%
